provincia,municipio,localidad,codigo_po,direccion,longitud,latitud
ASTURIAS,PRAVIA,PRAVIA,33120,"CALLE AGUSTIN BRAVO, S/N",-6.110666999999999,43.487833
ASTURIAS,PROAZA,PROAZA,33114,CARRETERA AS-228 KM. 13,-6.010306,43.258221999999996
ASTURIAS,RIBADEDEVA,COLOMBRES,33590,"CARRETERA NACIONAL 634. KM. 78,8",-4.557444,43.381721999999996
ASTURIAS,RIBADESELLA,RIBADESELLA,33560,"CARRETERA N-632 KM. 5,1",-5.08925,43.464417
ASTURIAS,RIBADESELLA,RIBADESELLA,33560,"AVENIDA PALACIO VALDES, 42",-5.061389,43.455917
ASTURIAS,RIBADESELLA,RIBADESELLA,33560,AUTOVIA A8 KM. 316,-5.014583,43.436111
ASTURIAS,SALAS,SALAS,33860,"AVENIDA GALICIA, S/N",-6.258916999999999,43.408667
ASTURIAS,SALAS,CASAZORRINA,33868,"ALDEA POLIGONO INDUSTRIAL, 1",-6.232806,43.40475
ASTURIAS,SALAS,CORNELLANA,33850,"CARRETERA NACIONAL 634 KM. 443,6",-6.157278,43.412778
ASTURIAS,SALAS,SANTIAGO DE LA BARCA,33848,"CR AS-15, 4,5",-6.151944,43.376639000000004
ASTURIAS,SAN MARTIN DEL REY AURELIO,SOTRONDIO,33950,"CARRETERA AS-17 KM. 48,5",-5.617611,43.277417
ASTURIAS,SAN MARTIN DEL REY AURELIO,ENTREGO (EL),33940,CARRETERA AS17 KM. 47,-5.633417,43.288917
ASTURIAS,SAN TIRSO DE ABRES,SAN ANDRES,33774,CARRETERA 640 KM. 26,-7.148583,43.412944
ASTURIAS,SIERO,CARBAYIN ALTO,33936,"CARRETERA AS-249 KM. 8,5",-5.627472,43.346583
ASTURIAS,SIERO,BERRON (EL),33186,"AVENIDA DE OVIEDO, 13",-5.698306,43.385139
ASTURIAS,SIERO,FERRERA,33519,CARRETERA SI 04 KM. 5,-5.6867220000000005,43.395694
ASTURIAS,SIERO,POLA DE SIERO,33510,"PLAZA ARGUELLES, S/N",-5.661278,43.393306
ASTURIAS,SIERO,GRANDA,33518,CARRETERA N-634 BERRON EL KM. 347,-5.754722,43.383611
ASTURIAS,SIERO,LUGONES,33420,"GLORIETA URBANIZACION LA FRESNEDA Y  AS-18 (HOY AS-266) KM, 1",-5.797111,43.415556
ASTURIAS,SIERO,LUGONES,33420,"CR SI-3, 2,2",-5.791333,43.40025
ASTURIAS,SIERO,LUGONES,33420,"CALLE AMADO MORAN S/N, S/N",-5.7966940000000005,43.41475
ASTURIAS,SIERO,BENDICION,33937,CARRETERA AS 246 KM. 26,-5.678444,43.357
ASTURIAS,SIERO,VIELLA,33429,"CARRETERA AS-17 KM. 24,9",-5.784917,43.402722
ASTURIAS,SIERO,VIELLA,33429,AUTOPISTA A-8 KM. 456,-5.779944,43.393944
ASTURIAS,SIERO,VIELLA,33429,"POLIGONO NATALIO, 1",-5.781528,43.3905
ASTURIAS,SIERO,SIERO,33429,"CARRETERA VIELLA KM. 0,250",-5.784056,43.38275
ASTURIAS,SIERO,MARCENADO,33519,"CARRETERA N-634 KM. 386,517",-5.620889,43.391556
BARCELONA,PRAT DE LLOBREGAT (EL),PRAT DE LLOBREGAT (EL),8820,"AVENIDA DEL REMOLAR, 37,39",2.087417,41.325611
BARCELONA,PRAT DE LLOBREGAT (EL),PRAT DE LLOBREGAT (EL),8820,"AUTOVIA C-31 KM. 191,8",2.0700279999999998,41.316444
BARCELONA,PRAT DE LLOBREGAT (EL),PRAT DE LLOBREGAT (EL),8820,"LUGAR AEROPUERTO DEL PRAT JUNTO PARRILLA DE TAXIS, S/N",2.064222,41.299333000000004
BARCELONA,PRAT DE LLOBREGAT (EL),PRAT DE LLOBREGAT (EL),8820,"CARRER DE LES MORERES, 49",2.102889,41.331361
BARCELONA,PRAT DE LLOBREGAT (EL),PRAT DE LLOBREGAT (EL),8820,CARRETERA GARRAF KM. 21,2.069556,41.314083000000004
BARCELONA,PRAT DE LLOBREGAT (EL),PRAT DE LLOBREGAT (EL),8820,CARRETERA CA L'ALAIO KM. 3,2.083417,41.329694
BARCELONA,PRATS DE LLUCANES,PRATS DE LLUCANES,8513,"AVINGUDA POMPEU FABRA, 3",2.031889,42.009278
BARCELONA,PREMIA DE MAR,PREMIA DE MAR,8330,"CARRER TORRENT MALET, 17",2.3456669999999997,41.488528
BARCELONA,PUIG-REIG,COLONIA VIDAL,8692,"POLIGONO CAL VIDAL PARCEL-LA, 18",1.877472,41.935694
BARCELONA,RIPOLLET,RIPOLLET,8291,"CALLE CERANOVA, 13",2.159278,41.496889
BARCELONA,RIPOLLET,RIPOLLET,8291,"CALLE BALMES, 34",2.159278,41.494167
BARCELONA,RIPOLLET,RIPOLLET,8291,"CARRETERA BARCELONA KM. 6,7",2.139417,41.506139000000005
BARCELONA,RIPOLLET,RIPOLLET,8291,"CALLE TARRAGONA, 15-19 ESQ.CALLE BALMES, 15",2.1555560000000002,41.494972
BARCELONA,RIPOLLET,RIPOLLET,8291,CARRETERA N-150 BARCELONA-SABADELL KM. 286,2.1395,41.501389
BARCELONA,RIPOLLET,RIPOLLET,8291,"CARRETERA SANTIGA KM. 0,430",2.1510279999999997,41.500306
BARCELONA,RIPOLLET,RIPOLLET,8291,"CALLE INDUSTRIA, S/N",2.162306,41.494028
BARCELONA,ROCA DEL VALLES (LA),ROCA DEL VALLES (LA),8430,"POLIGONO CAN MESSEGUER, S/N",2.3463060000000002,41.614028000000005
BARCELONA,ROCA DEL VALLES (LA),ROCA DEL VALLES (LA),8430,"CARRETERA C-60 KM. 8,7",2.342889,41.593472
BARCELONA,ROCA DEL VALLES (LA),ROCA DEL VALLES (LA),8430,"CARRETERA C-60 KM. 8,7",2.34175,41.592139
BARCELONA,ROCA DEL VALLES (LA),SANTA AGNES DE MALANYANES,8430,"CR C-1415, 17,4",2.309139,41.596694
BARCELONA,RODA DE TER,RODA DE TER,8510,"AVENIDA MIQUEL MARTI I POL, S/N",2.308472,41.988139000000004
BARCELONA,RODA DE TER,RODA DE TER,8510,"CALLE BAC DE RODA, 52",2.310028,41.984528000000005
BARCELONA,RUBI,RUBI,8191,"CALLE PAGESIA, 2",2.037306,41.506861
BARCELONA,RUBI,RUBI,8191,"CARRETERA RUBI A SANT CUGAT BP-1503 KM. 18,4",2.0420830000000003,41.484916999999996
BARCELONA,RUBI,RUBI,8191,"AV.ELECTRICIDAD,ESQ.CHAPLIN C.VALLHONRAT",2.035111,41.474
BARCELONA,RUBI,RUBI,8191,CARRETERA TERRASSA KM. 1,2.0339720000000003,41.503111
BARCELONA,RUBI,RUBI,8191,"CARRETERA C-1413 KM. 12,7",2.0381110000000002,41.505666999999995
BARCELONA,RUBI,RUBI,8191,"AVENIDA COVA SOLERA, 20",2.0235830000000004,41.483167
BARCELONA,RUBI,RUBI,8191,"CALLE COMP WAGNER, 21",2.0243330000000004,41.470806
BARCELONA,RUBI,RUBI,8191,"CARRETERA E-9 KM. 14,7",2.048389,41.497083
BARCELONA,RUBI,RUBI,8191,"CARRETERA E-9 KM. 14,9",2.0492779999999997,41.498222
BARCELONA,RUBI,RUBI,8191,"CARRETERA C-1413 KM. 9,8",2.0308330000000003,41.481221999999995
BARCELONA,RUBI,RUBI,8191,"CARRETERA C1413A KM. 9,7",2.031417,41.480556
