id,name,formatted_address,latitude,longitude,province
punto_recarga_150,Estacíon de Alcanadre Adif,"Calle Ctra. Estación, 49, 26509 Alcanadre, La Rioja",42.4074484,-2.1220287,La Rioja
punto_recarga_151,Estación de servicio Cepsa,"P.I. Cantabria I, Av. Mendavía, 14, 26006 Logroño, La Rioja",42.472616,-2.4169634,La Rioja
punto_recarga_152,Estación de servicio Cepsa,"Polígono Industrial I-9 parcela 18 bis, Ctra. Logroño, Km 1, 26142 Villamediana de Iregua, La Rioja",42.447572,-2.418637,La Rioja
punto_recarga_153,Estación de Servicio Repsol,"CR LO-20 P.K. 10,00 D, 26007 Logroño, La Rioja",42.4542539,-2.5041323,La Rioja
punto_recarga_154,Haro,"26200, La Rioja",42.583635,-2.849396,La Rioja
punto_recarga_155,Estación de servicio Cepsa,"Carretera de Lerma, Pk 376, 26320 Baños de Río Tobía, La Rioja",42.351808,-2.753369,La Rioja
punto_recarga_156,Estación de servicio Cepsa,"Camino Berceo, s/n, 26320 Baños de Río Tobía, La Rioja",42.333749,-2.763892,La Rioja
punto_recarga_157,Estacíon de Rincon De Soto Adif,"Calle Estacion Ferrocarril, 2, 26550 Rincón de Soto, La Rioja",42.2301756,-1.8477525,La Rioja
punto_recarga_158,Grupo Logístico Arnedo,"Av. del Ebro, 9, 26160 Agoncillo, La Rioja",42.437397,-2.2827436000000003,La Rioja
punto_recarga_159,Taxi Jose Haro,"Plaza Castañares de Rioja, 26200 Haro, La Rioja",42.5732888,-2.8527583,La Rioja
punto_recarga_160,Estación de Servicio Repsol,"Cr, LR-113, 44, I, 26320 Baños de Río Tobía, La Rioja",42.3281448,-2.7609249,La Rioja
punto_recarga_161,Estación de Servicio Repsol,"CR N-111 P.K. 292,00 D, 26123 Villanueva de Cameros, La Rioja",42.16631339999999,-2.6500101000000003,La Rioja
punto_recarga_162,Estación de Servicio Repsol,"Cr N-120, 23 D, 26315 Tricio",42.4116447,-2.7011844,La Rioja
punto_recarga_163,NACEX,"Calle Torremuña, 4, 26005 Logroño, La Rioja",42.46169949999999,-2.4549066,La Rioja
punto_recarga_164,Estación de servicio Cepsa,"Avda. De Logroño, 20, 26580 Arnedo, La Rioja",42.2293783,-2.0940911,La Rioja
punto_recarga_165,Ecociudad del transporte Grupo Arnedo,"Carretera Nacional, 232 km 367, 26511 El Villar de Arnedo",42.3186377,-2.0525105,La Rioja
punto_recarga_166,ITV Logroño Tüv Süd,"Pol. Ind. Cantabria I, Calle Soto Galo, 8, 26009 Logroño, La Rioja",42.4690331,-2.4110333,La Rioja
punto_recarga_167,Estación de Autobuses de Logroño,"26003 Logroño, La Rioja",42.4599594,-2.4446677,La Rioja
punto_recarga_168,ITV Nájera Tüv Süd,"A-12, Salida 110, 26300 Nájera, La Rioja",42.4294219,-2.7157075,La Rioja
punto_recarga_169,Hertz - Logroño,"Auto Urbion Car Dealer, Av. de Burgos, 64, 26006 Logroño, La Rioja",42.4620475,-2.4715036,La Rioja
punto_recarga_170,XPO LOGISTICS,"97-, Calle Rivera, 103, 26151 Arrúbal, La Rioja",42.4302583,-2.2584736,La Rioja
punto_recarga_171,ITV Logroño - Polígono de Cantabria Red Itevelesa,"Pol. Ind. Cantabria I, Calle Barriguelo, 6, 26006 Logroño, La Rioja",42.4693899,-2.412632,La Rioja
punto_recarga_172,Alfaro,"26540, La Rioja",42.186525,-1.747985,La Rioja
punto_recarga_173,Hertz - Logrono - Leroy Merlin,"c/ Prado Viejo E-F, 26007 Logroño, La Rioja",42.4556021,-2.4718713,La Rioja
punto_recarga_174,ITV Logroño - Avda. de Burgos Red Itevelesa,"Av. de Burgos, 109, 111, 26007 Logroño, La Rioja",42.4600352,-2.4757325,La Rioja
punto_recarga_175,Estacíon de La Puebla De Hijar Adif,"Plaza Del, Plaza Reino de Aragón, 1, 44510, Teruel",41.2243315,-0.4385412,Teruel
punto_recarga_176,Puerto Escandon,"44442, Teruel",40.273092,-0.985079,Teruel
punto_recarga_177,FINSA CELLA II,"Ctra. Estación, 4, 44370 Cella, Teruel",40.4534786,-1.2447381000000002,Teruel
punto_recarga_178,Estación de carga de vehículos eléctricos,"Caserio la Estrecha, 35T, 33011 Oviedo, Asturias",43.3813393,-5.8294346999999975,Asturias
punto_recarga_179,"EDP Comercializadora, SAU Charging Station","Av. del Llano, 19, 33209 Gijón, Asturias",43.53426839999999,-5.6603796,Asturias
punto_recarga_180,EDP Estación de carga,"Plaza Europa, 33450 Piedras Blancas, Asturias",43.5591662,-5.9772415,Asturias
punto_recarga_181,Estación de carga de vehículos eléctricos,"Calle Teodoro Cuesta, 2, 33600 Mieres, Asturias",43.2488883,-5.7718986,Asturias
punto_recarga_182,"EDP Comercializadora, SAU Charging Station","Calle de Asturias, 1, 33820 Grado, Asturias",43.387464,-6.072723000000001,Asturias
punto_recarga_183,"EDP Comercializadora, SAU Charging Station","Av. de Galicia, 2, 33740 Tapia de Casariego, Asturias",43.5687179,-6.944178,Asturias
punto_recarga_184,"EDP Comercializadora, SAU Charging Station. Estación de carga de vehículos eléctricos.","Av Carr del Puerto, 11, 33830 Belmonte, Asturias",43.2846217,-6.2176445,Cuenca
punto_recarga_185,Iberdrola Estación de carga,"Av. Adolfo Suárez, 30, 16400 Tarancón, Cuenca",40.0063516,-3.0189852000000004,Cuenca
punto_recarga_186,Iberdrola Charging Station,"1 Plaza de España, 16710 Atalaya del Cañavate",39.538723,-2.254855,Cuenca
punto_recarga_187,Tesla Destination Charger,"2 Calle Infante Don Juan Manuel, 16640 Belmonte",39.560724,-2.702476,Cuenca
punto_recarga_188,EDP Estación de carga,"82, Posada, 33690 Lugo de Llanera",43.422419,-5.826525,Lugo
punto_recarga_189,"EDP Comercializadora, SAU Charging Station","Posada, 33192 Lugo de Llanera, Asturias",43.4228009,-5.8259548,Lugo
punto_recarga_190,"EDP Comercializadora, SAU Charging Station","Calle Peña Santa, 33192 Lugo de Llanera, Asturias",43.416616,-5.810642,Lugo
punto_recarga_191,EasyCharger Estación de carga,"Rúa E, 27150, 27150, Lugo",43.1071861,-7.605576299999999,Lugo
punto_recarga_192,Tesla Destination Charger,"Av. Infanta Elena, 213, 27003 Lugo",43.0371727,-7.5688405,Lugo
punto_recarga_193,Puntos de Recarga Mercadona,"27710, Lugo",43.5404319,-7.0629537,Lugo
punto_recarga_194,Estacíon de Lugo Adif,"Praza Conde de Fontao, S/N, 27003 Lugo",43.0150924,-7.5521118,Lugo
punto_recarga_195,Estación de Servicio Repsol,"Avenida de Galicia, 41, D, 27400 Monforte de Lemos, Lugo",42.5199624,-7.513412100000001,Lugo
punto_recarga_196,Monforte de Lemos,"27400 Monforte de Lemos, Lugo",42.52959110000001,-7.5034855,Lugo
punto_recarga_197,Viveiro,"27869 Vivero, Lugo",43.6569018,-7.6003276999999985,Lugo
punto_recarga_198,Canabal,"27440 Canaval, Lugo",42.482882,-7.587733000000001,Lugo
punto_recarga_199,NACEX,"Pol. Ind. Ceao, Rúa da Industria, 41, 27003 Lugo",43.0475206,-7.571501399999999,Lugo
punto_recarga_200,Estación de servicio Cepsa,"Po, Av. de Joaquin Fernandez Vallejo, 12, 39300 Torrelavega, Cantabria",43.34358870000001,-4.0463771,Cantabria
punto_recarga_201,Santander,"39008 Santander, Cantabria",43.4583294,-3.810976299999999,Cantabria
punto_recarga_202,NACEX,"Calle la Quinta, 27, 39750 Colindres, Cantabria",43.3936682,-3.4499529000000004,Cantabria
punto_recarga_203,IBIL Charging Station,"Av. Ris, 64, 39180 Noja, Cantabria",43.48983399999999,-3.529208,Cantabria
punto_recarga_204,Feníe Energía Estación de carga,"CA-131, 39547 San Vicente de la Barquera, Cantabria",43.385017,-4.3383980000000015,Cantabria
