Origen;Destino;Distance_m;Distance_km
Almeria Tren;Barcelona Bus;796551;796551
Almeria Tren;Bilbao Tren;934180;934.18
Almeria Tren;Bilbao Bus;936453;936453
Almeria Tren;Burgos Tren;785326;785326
Almeria Tren;Burgos Bus;779370;779.37
Almeria Tren;Caceres Tren;660785;660785
Almeria Tren;Caceres Bus;660436;660436
Almeria Tren;Cadiz Tren;437906;437906
Almeria Tren;Cadiz Bus;437853;437853
Almeria Tren;Castellon Tren;517843;517843
Almeria Tren;Castellon Bus;517704;517704
Almeria Tren;Ciudad Real Tren;382316;382316
Almeria Tren;Ciudad Real Bus;381613;381613
Almeria Tren;Cordoba Tren;357932;357932
Almeria Tren;Cordoba Bus;357651;357651
Almeria Tren;Cuenca Tren;494869;494869
Almeria Tren;Cuenca Bus;494632;494632
Almeria Tren;Girona Tren;886117;886117
Almeria Tren;Girona Bus;888162;888162
Almeria Tren;Granada Tren;159767;159767
Almeria Tren;Granada Bus;160165;160165
Almeria Tren;Guadalajara Tren;591637;591637
Almeria Tren;Guadalajara Bus;591326;591326
Almeria Tren;Huelva Tren;508236;508236
Almeria Tren;Huelva Bus;506602;506602
Almeria Tren;Huesca Tren;829777;829777
Almeria Tren;Huesca Bus;829658;829658
Almeria Tren;Jaen Tren;217725;217725
Almeria Tren;Jaen Bus;217121;217121
Almeria Tren;Leon Tren;877928;877928
Almeria Tren;Leon Bus;877541;877541
Almeria Tren;Lerida Tren;756388;756388
Almeria Tren;Lerida Bus;754819;754819
Almeria Tren;Logrono Tren;861390;861.39
Almeria Tren;Logrono Bus;860662;860662
Almeria Tren;Lugo Tren;1041611;1041611
Almeria Tren;Lugo Bus;1040316;1040316
Almeria Tren;Madrid Tren;540623;540623
Almeria Tren;Madrid Bus;538880;538.88
Almeria Tren;Malaga Tren;202539;202539
Almeria Tren;Malaga Bus;210793;210793
Almeria Tren;Murcia Tren;217487;217487
Almeria Tren;Murcia Bus;217614;217614
Almeria Tren;Ourense Tren;1043288;1043288
Almeria Tren;Ourense Bus;1043667;1043667
Almeria Tren;Oviedo Tren;991552;991552
Almeria Tren;Oviedo Bus;988820;988.82
Almeria Tren;Palencia Tren;802184;802184
